ID,Num,Time,TransX,TransY,TransZ,RotX,RotY,RotZ
150,28,1441926063374,6.2249246,10.43872,4.510676,-0.07704538,1.9003254,1.0394254
150,28,1441926063378,6.5218053,10.754754,4.7309427,-0.16134478,1.7647133,0.83783984
150,28,1441926063390,6.588843,11.18571,4.9416323,-0.25175285,1.5655713,0.60571104
150,28,1441926063407,6.540959,11.511322,5.2959743,-0.29573515,1.349325,0.40046033
150,28,1441926063408,6.6079965,11.942278,5.5258174,-0.26274842,1.1257483,0.25263095
150,28,1441926063423,6.694188,12.258312,5.3821654,-0.086819224,0.8801805,0.20742694
150,28,1441926063428,6.895301,12.583924,5.391742,-0.086819224,0.6663776,0.20742694
150,28,1441926063443,6.8665705,13.024457,5.631162,0.2467132,0.6663776,0.23308326
150,28,1441926063456,6.5984197,13.378799,5.5162406,0.59246296,0.5124396,0.26606998
150,28,1441926063458,6.1195793,13.522451,5.0661306,0.8294786,0.36094502,0.2465223
150,28,1441926063472,5.5258174,13.560759,4.5872903,0.9565386,0.2167808,0.15489252
150,28,1441926063478,5.085284,13.771448,4.1371803,0.9834167,0.071394876,0.0046196682
150,28,1441926063489,4.5298295,13.752295,3.7732618,0.94676477,-0.01779145,-0.16886607
150,28,1441926063505,3.8977604,13.704411,3.7828386,0.89423037,-0.10453431,-0.32769102
150,28,1441926063508,3.122039,13.350069,4.213795,0.85391325,-0.24625506,-0.48040733
150,28,1441926063522,2.4133554,12.650962,4.7788267,0.8355873,-0.42584944,-0.63678885
150,28,1441926063528,1.8579005,12.152967,5.161899,0.8514698,-0.58345264,-0.7956138
150,28,1441926063539,1.4939818,11.444284,5.602432,0.9711994,-0.68241286,-0.88968706
150,28,1441926063555,1.388637,10.601525,5.765238,1.181337,-0.717843,-0.88235664
150,28,1441926063558,1.7142484,9.682152,5.5162406,1.3755922,-0.64209574,-0.8237136
150,28,1441926063572,2.1547816,8.983045,4.9224787,1.5246433,-0.5077054,-0.72108823
150,28,1441926063578,2.327164,8.274361,4.2521024,1.6553684,-0.4246277,-0.5903631
150,28,1441926063591,2.4995465,7.5082164,3.7541082,1.7726545,-0.4209625,-0.486516
150,28,1441926063608,2.6048915,6.6750345,3.4763808,1.8447367,-0.4881577,-0.39366448
150,28,1441926063608,2.8443117,5.602432,3.2369606,1.8484019,-0.6005569,-0.2995912
150,28,1441926063623,2.882619,5.0374002,3.0358477,1.756772,-0.65919995,-0.19696586
150,28,1441926063628,3.064578,4.912902,2.7389667,1.5771778,-0.63843054,-0.09067531
150,28,1441926063640,3.1986535,4.8745947,2.4229321,1.3682618,-0.6323219,-0.049136475
150,28,1441926063670,3.4763808,4.7788267,2.0015526,1.2118803,-0.66042167,-0.07723627
150,28,1441926063670,3.9073372,4.462792,1.8195933,1.1116984,-0.6885215,-0.1224403
150,28,1441926063670,4.3861775,4.280833,1.7238252,1.0591639,-0.7557167,-0.09311877
150,28,1441926063678,4.5202527,4.146757,1.4460979,1.0445032,-0.8803332,-2.6725355E-4
150,28,1441926063692,4.501099,3.8498764,1.5801731,1.0445032,-0.9915106,-2.6725355E-4
150,28,1441926063710,4.309563,3.8977604,1.733402,1.0664943,-0.9915106,0.08403215
150,28,1441926063710,4.0414124,3.9743748,1.4556746,0.99929917,-1.0342712,0.1500056
150,28,1441926063726,3.7541082,4.3957543,0.90979666,0.8307004,-1.0269408,0.2098704
150,28,1441926063728,3.5625722,4.951209,0.35434186,0.6132324,-0.9817368,0.23674846
150,28,1441926063742,3.3327289,5.592855,-0.1436521,0.4311945,-0.9047678,0.22819635
150,28,1441926063760,3.1316159,6.196194,-0.2777274,0.28580856,-0.87544626,0.22941808
150,28,1441926063760,2.6144683,6.703765,-0.36391866,0.19417879,-0.985402,0.20376174
150,28,1441926063776,2.2409728,7.153875,-0.2681506,0.1379792,-1.1955396,0.13290137
150,28,1441926063778,1.8579005,7.52737,0.047884032,0.134314,-1.4472162,0.05471062
150,28,1441926063793,1.8579005,7.52737,0.7182605,0.15630515,-1.7208837,0.005841399
150,28,1441926063810,1.1300632,7.929596,0.7182605,0.17096591,-2.0128772,-0.06257551
150,28,1441926063810,0.19153613,8.504205,1.3311762,0.13920091,-2.177811,-0.1945224
150,28,1441926063826,-0.32561144,8.580819,1.7908629,0.089109965,-2.154598,-0.37533852
150,28,1441926063828,-0.94810385,8.571242,2.030283,0.02069306,-2.0116556,-0.5720371
150,28,1441926063844,-1.4652514,8.322245,2.4516625,-0.10514518,-1.8308395,-0.7711792
150,28,1441926063867,-1.6376339,7.9583263,2.4516625,-0.24686591,-1.6231453,-0.9141217
150,28,1441926063868,-2.0494366,7.5465236,2.1068976,-0.2700788,-1.4692073,-0.9507736
150,28,1441926063869,-2.681506,7.2687964,2.0685902,-0.18944459,-1.4240032,-0.8970174
150,28,1441926063878,-3.3327289,7.0485296,2.27928,-0.064828075,-1.483868,-0.77362263
150,28,1441926063900,-3.8594532,6.540959,2.566584,0.04390594,-1.5901586,-0.6319019
